"TIPO DE EMERGENCIA","Hora"
1,1
0,1
1,9
0,15
0,16
0,17
0,20
0,20
0,21
0,21
0,20
1,8
1,13
1,14
1,15
1,16
1,16
1,17
1,18
0,3
0,7
1,9
0,14
1,16
1,16
1,17
1,18
0,21
0,21
1,22
1,22
1,8
1,9
1,13
0,13
1,17
1,20
0,21
0,22
1,7
1,10
0,11
1,13
1,15
0,16
0,17
1,17
1,18
1,18
1,19
0,20
0,20
0,21
0,23
1,5
0,10
1,12
0,12
0,15
0,17
1,18
1,18
1,21
1,22
1,22
1,23
1,3
1,9
1,10
1,12
0,16
1,16
1,16
1,19
0,21
1,18
1,18
0,1
1,8
1,10
0,10
0,14
1,15
1,18
1,18
0,17
0,18
1,20
0,10
1,13
0,16
0,11
1,12
1,21
0,1
1,19
1,19
0,23
0,7
1,8
1,9
0,15
1,8
0,10
0,15
0,19
0,21
1,23
0,8
0,10
0,11
0,11
0,12
0,19
0,8
1,17
1,0
1,8
0,9
0,15
1,16
0,23
1,1
1,14
1,15
0,18
1,21
0,6
1,12
0,14
0,17
1,18
0,23
1,8
1,8
0,16
0,18
0,21
1,9
0,16
0,18
0,18
0,19
1,15
0,0
1,17
0,18
0,18
0,20
1,22
1,6
0,7
0,8
1,13
0,13
0,17
0,22
0,22
1,22
0,0
1,1
0,2
1,8
0,17
1,13
1,0
1,0
1,0
1,13
0,20
0,21
0,22
0,11
0,20
0,11
0,12
0,14
0,14
0,16
1,17
0,11
1,13
1,20
0,22
0,23
1,23
0,0
1,0
0,3
0,13
1,13
0,15
1,17
0,20
1,11
0,11
0,12
1,22
1,0
0,4
1,13
0,13
0,16
0,16
0,10
0,13
0,14
1,19
1,20
0,21
0,9
0,9
0,10
0,10
0,11
0,15
0,17
1,23
1,4
0,7
0,8
0,11
0,11
1,15
0,17
0,19
1,19
0,20
0,20
0,22
1,11
0,14
0,16
0,16
1,16
0,18
0,19
0,19
0,22
0,22
0,8
1,9
0,15
0,16
0,17
1,18
0,18
0,18
0,19
1,19
0,23
0,0
0,11
1,1
0,3
0,12
0,17
0,18
1,0
0,12
0,23
0,9
0,17
0,17
1,20
0,3
1,6
1,7
1,7
0,12
0,13
0,13
0,14
0,15
0,19
0,7
0,10
0,11
0,11
1,13
1,19
1,9
1,18
0,22
0,0
0,3
1,10
0,14
0,16
0,19
0,19
1,23
0,7
1,9
0,13
0,11
1,12
0,15
0,17
0,18
1,19
1,0
0,9
1,11
0,13
0,14
1,15
0,15
1,18
0,19
1,21
0,21
0,21
0,22
1,23
0,23
0,23
0,9
0,9
0,12
0,13
1,15
1,17
1,18
0,3
1,12
0,15
0,15
1,20
1,20
1,21
0,23
0,16
1,19
0,19
0,21
0,22
0,0
0,1
0,12
0,14
0,18
0,19
0,19
0,19
1,19
1,20
1,20
1,22
0,22
0,0
0,0
1,2
0,3
0,10
0,14
0,16
0,19
0,20
1,23
0,2
1,9
0,11
0,12
1,13
0,14
0,16
1,17
0,18
0,19
1,20
1,20
0,23
0,0
0,1
1,6
0,9
1,9
0,10
0,13
0,15
1,18
0,4
1,12
0,15
0,16
1,17
0,18
0,19
1,19
0,20
0,20
0,21
1,22
1,12
1,13
0,14
0,15
0,19
0,20
0,11
0,12
0,15
0,15
0,16
1,16
0,18
0,20
1,23
1,2
0,9
0,14
0,16
1,20
1,20
0,14
0,16
0,20
0,6
0,10
0,13
1,14
0,15
0,20
0,21
0,22
0,23
0,0
0,0
1,12
1,13
0,15
0,15
1,18
0,22
0,22
0,23
0,2
1,9
1,10
1,18
1,18
1,19
1,20
1,20
0,20
1,20
1,21
0,22
1,8
0,14
1,14
1,16
1,16
0,17
1,0
0,3
1,10
0,1
0,3
1,11
1,13
0,14
1,14
0,14
0,15
0,16
1,19
0,21
0,8
0,11
0,14
0,16
0,17
0,0
0,2
1,5
1,6
0,10
0,10
0,11
1,14
1,18
0,18
0,19
0,20
0,2
0,9
1,20
1,22
0,23
1,23
0,15
0,16
1,19
1,2
0,11
0,18
0,19
1,20
0,2
1,11
1,12
1,17
0,17
1,19
0,21
1,23
0,23
0,1
1,2
1,7
1,19
0,15
1,6
0,10
0,11
1,13
1,13
1,14
1,14
1,14
1,14
1,17
0,17
0,17
0,17
0,19
1,19
0,2
1,21
1,4
0,13
1,15
0,19
1,21
1,9
1,10
0,10
0,16
0,17
0,19
0,0
1,0
1,0
1,0
1,0
1,9
0,13
0,15
0,15
1,22
0,0
1,2
1,7
1,12
1,15
1,17
1,15
0,22
0,7
0,9
0,10
0,11
1,11
1,13
0,16
0,18
0,19
0,22
0,17
1,19
0,20
0,9
0,16
0,17
1,17
0,17
1,17
0,18
0,19
1,19
1,19
1,20
1,21
0,23
1,0
0,1
0,10
1,16
0,16
1,16
0,20
0,21
0,21
0,22
1,22
0,23
0,1
0,4
0,4
1,16
0,16
0,18
1,19
1,20
0,21
0,22
1,0
0,3
0,4
0,4
1,10
1,11
1,11
0,13
0,14
0,14
0,14
0,18
1,20
0,22
1,23
1,7
0,10
0,12
0,12
0,21
1,5
1,10
1,12
1,15
0,16
0,16
1,18
1,18
0,19
